id,etf_code,date,start_price,last_price,weekly_return,monthly_return
191,451530,2025-04-25,64965,64485,-0.74,2.7
192,472920,2025-04-25,112090,112070,-0.02,1.12
193,462900,2025-04-25,14135,14335,1.41,5.37
194,483320,2025-04-25,6630,7355,10.94,-13.57
195,272560,2025-04-25,112850,112920,0.06,0.48
196,305080,2025-04-25,12655,12770,0.91,-1.88
197,372330,2025-04-25,7650,8090,5.75,-10.11
198,495850,2025-04-25,9710,9935,2.32,-4.46
199,423920,2025-04-25,12615,15235,20.77,-27.83
200,480020,2025-04-25,9015,9315,3.33,-11.86
201,385550,2025-04-25,112075,112165,0.08,0.43
202,488500,2025-04-25,9880,10235,3.59,-6.61
203,448540,2025-04-25,20515,20915,1.95,-3.57
204,481190,2025-04-25,10590,11395,7.6,-7.43
205,114100,2025-04-25,110755,110995,0.22,1.11
206,496080,2025-04-25,9720,9960,2.47,-4.36
207,0008S0,2025-04-25,8735,8835,1.14,-9.75
208,418660,2025-04-25,18220,20430,12.13,-14.38
209,219480,2025-04-25,23745,24620,3.68,-4.46
210,492500,2025-04-25,51150,51185,0.07,0.73
211,395160,2025-04-25,8145,8500,4.36,-7.51
212,486450,2025-04-25,11470,12305,7.28,-5.89
213,480030,2025-04-25,9150,9360,2.3,-9.9
214,244580,2025-04-25,8440,8585,1.72,7.31
215,487240,2025-04-25,9605,9730,1.3,-1.72
216,493810,2025-04-25,8265,8830,6.84,-8.99
217,479730,2025-04-25,10035,10345,3.09,4.6
218,232080,2025-04-25,12050,12240,1.58,1.12
219,414780,2025-04-25,7945,7970,0.31,-6.12
220,309230,2025-04-25,23785,24905,4.71,-7.91
221,283580,2025-04-25,11825,12060,1.99,-5.93
222,481430,2025-04-25,109010,109345,0.31,2.19
223,433330,2025-04-25,15730,16425,4.42,-6.51
224,143850,2025-04-25,56865,58985,3.73,-4.39
225,319640,2025-04-25,21170,21285,0.54,10.17
226,364960,2025-04-25,5705,5720,0.26,-3.62
227,364970,2025-04-25,7450,7395,-0.74,-3.59
228,498180,2025-04-25,103385,103575,0.18,1.3
229,144600,2025-04-25,5740,5945,3.57,0.0
230,284430,2025-04-25,12970,13180,1.62,-2.41
231,498270,2025-04-25,7360,7920,7.61,-6.88
232,461950,2025-04-25,3620,3745,3.45,-11.15
233,136340,2025-04-25,107520,107675,0.14,1.07
234,462540,2025-04-25,54165,54200,0.06,0.35
235,182480,2025-04-25,12035,12240,1.7,-3.31
236,464930,2025-04-25,13530,14470,6.95,-7.54
237,0000Y0,2025-04-25,101555,101585,0.03,0.63
238,464240,2025-04-25,52810,52845,0.07,0.66
239,302450,2025-04-25,26055,26770,2.74,-2.25
240,445290,2025-04-25,13685,13910,1.64,-0.5
241,0016X0,2025-04-25,50460,50500,0.08,0.64
242,466400,2025-04-25,108300,108360,0.06,0.33
243,476760,2025-04-25,9860,9935,0.76,-4.05
244,422420,2025-04-25,5480,5685,3.74,-9.62
245,139230,2025-04-25,7110,7440,4.64,10.63
246,326240,2025-04-25,13960,14355,2.83,-5.75
247,228810,2025-04-25,5710,5720,0.18,1.69
248,455860,2025-04-25,3440,3565,3.63,-11.87
249,478150,2025-04-25,14785,14820,0.24,-1.53
250,489570,2025-04-25,10190,10205,0.15,0.34
251,485540,2025-04-25,9040,9760,7.96,-7.22
252,168580,2025-04-25,26570,27265,2.62,-5.62
253,304940,2025-04-25,21195,22285,5.14,-4.05
254,451060,2025-04-25,10665,10940,2.58,-3.87
255,0000J0,2025-04-25,19040,20350,6.88,22.08
256,495710,2025-04-25,50770,50785,0.03,0.5
257,473440,2025-04-25,10595,10595,0.0,0.28
258,465780,2025-04-25,105820,105890,0.07,0.64
259,157490,2025-04-25,7855,7905,0.64,-2.11
260,463050,2025-04-25,12145,12070,-0.62,1.81
261,489870,2025-04-25,51115,51145,0.06,0.32
262,475050,2025-04-25,10135,10015,-1.18,0.91
263,419890,2025-04-25,107835,107910,0.07,0.57
264,476750,2025-04-25,9585,9595,0.1,0.22
265,429000,2025-04-25,11740,11915,1.49,-5.7
266,282000,2025-04-25,109570,109530,-0.04,-0.62
267,401470,2025-04-25,6960,6970,0.14,-0.21
268,130730,2025-04-25,102585,102645,0.06,0.33
269,490090,2025-04-25,9285,10010,7.81,-7.95
270,213610,2025-04-25,7915,8010,1.2,-3.49
271,245340,2025-04-25,27460,28125,2.42,-8.0
272,0005A0,2025-04-25,8525,8710,2.17,-8.98
273,465350,2025-04-25,39630,38215,-3.57,8.86
274,471990,2025-04-25,7770,8360,7.59,-8.23
275,270810,2025-04-25,11670,11865,1.67,1.28
276,438570,2025-04-25,110605,110990,0.35,2.29
277,328370,2025-04-25,13730,14020,2.11,-2.27
278,228800,2025-04-25,2995,3010,0.5,1.35
279,401170,2025-04-25,5730,5765,0.61,-2.86
280,0025N0,2025-04-25,9260,9615,3.83,-4.75
281,0026E0,2025-04-25,9180,9565,4.19,-5.58
282,332930,2025-04-25,42735,43825,2.55,-3.76
283,475280,2025-04-25,10480,10500,0.19,0.38
284,472150,2025-04-25,9925,10125,2.02,-3.3
285,412770,2025-04-25,10040,10820,7.77,-7.28
286,190620,2025-04-25,101295,101355,0.06,0.32
287,491230,2025-04-25,51150,51185,0.07,0.35
288,448330,2025-04-25,10645,10695,0.47,-0.69
289,441800,2025-04-25,12165,12460,2.42,-2.76
290,325020,2025-04-25,13320,13580,1.95,-3.82
